gene	non-smoker	smoker	log2_fold_change	p_value	Regulation	Significance
ilmn_1671565_rnaset2	242.81645161290322	230.62333333333333	-0.07432768708231914	0.5451200299781718	Downregulated	Not significant
ilmn_1772369_pdha1	78.12548387096774	72.0275	-0.11724538932962797	0.09984388091862052	Downregulated	Not significant
ilmn_1730906_doc1	137.8958064516129	176.57083333333333	0.35666846887929454	0.1344779999359931	Upregulated	Not significant
ilmn_1653278_muc20	384.24693548387097	383.9141666666667	-0.0012499564245847133	0.9845160970619882	Downregulated	Not significant
ilmn_1691418_cdrt4	78.12483870967742	72.02666666666667	-0.11725016706610736	0.09980982847929344	Downregulated	Not significant
ilmn_1804150_hibadh	106.70693548387096	102.48916666666666	-0.05818252636576921	0.2913385746621677	Downregulated	Not significant
ilmn_1786116_loc200261	78.12177419354839	72.04416666666667	-0.11684309231826562	0.10140767181072426	Downregulated	Not significant
ilmn_1667846_gabarapl1	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1698666_cst6	260.3374193548387	308.97333333333336	0.24709963726565481	0.36371536339112565	Upregulated	Not significant
ilmn_1697733_cst6	154.04806451612905	156.185	0.019875347523583636	0.7541163423920764	Upregulated	Not significant
ilmn_1653571_loc727849	73.55322580645161	72.975	-0.011386309075711322	0.8357636039328837	Downregulated	Not significant
ilmn_1727001_ddx46	253.0332258064516	250.9025	-0.012199991846423975	0.8561238945285647	Downregulated	Not significant
ilmn_1674243_tfrc	160.44258064516129	153.54583333333332	-0.06338771310691797	0.31632947203806927	Downregulated	Not significant
ilmn_1752117_tmem55a	384.2824193548387	383.9141666666667	-0.001383178153568144	0.9828702351626581	Downregulated	Not significant
ilmn_1730504_agpat4	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1686989_insig1	260.3275806451613	308.97333333333336	0.24715416083709524	0.3636207194822453	Upregulated	Not significant
ilmn_1738742_plat	91.24145161290322	106.2425	0.21959969574574423	0.08282842018250101	Upregulated	Not significant
ilmn_1667641_acaca	1970.963064516129	1919.6433333333334	-0.038062455386409226	0.6843189271228445	Downregulated	Not significant
ilmn_1719518_arf4	276.4701612903226	284.7158333333333	0.0423989425144288	0.4458450615645825	Upregulated	Not significant
ilmn_1723884_arf4	1993.094193548387	2006.2691666666667	0.009505281429903804	0.8274171692043291	Upregulated	Not significant
ilmn_1684461_cadps2	154.05	156.185	0.01985722139230272	0.7543314708629254	Upregulated	Not significant
ilmn_1749044_pvrl4	101.34064516129033	104.31416666666667	0.04172218167351428	0.515845884569966	Upregulated	Not significant
ilmn_1781001_socs3	75.37193548387097	75.0925	-0.005358617124541793	0.9318570555217208	Downregulated	Not significant
ilmn_1661170_ndufb8	1993.0872580645162	2006.2925	0.00952708041697302	0.8270468190594011	Upregulated	Not significant
ilmn_1771084_acsm3	78.13064516129032	72.01166666666667	-0.1176578696002223	0.09826473081742577	Downregulated	Not significant
ilmn_1809379_polg	160.43370967741936	153.54583333333332	-0.06330794341648967	0.31693725114339055	Downregulated	Not significant
ilmn_1808789_myo5c	75.37225806451613	75.075	-0.005701044992461116	0.9270920847928465	Downregulated	Not significant
ilmn_1783448_dync1li2	242.81645161290322	230.67083333333335	-0.07403057508899114	0.5466854672036232	Downregulated	Not significant
ilmn_1672357_mizf	212.18129032258065	207.74333333333334	-0.0304952678165784	0.6258683873473514	Downregulated	Not significant
ilmn_1668963_marveld1	75.37241935483871	75.03333333333333	-0.006505051059922689	0.9168958097569444	Downregulated	Not significant
ilmn_1746924_znf610	73.54693548387097	72.975	-0.011262923525095956	0.837562244783792	Downregulated	Not significant
ilmn_1798395_pigh	260.34177419354836	268.62666666666667	0.04519570494344915	0.6334574376038438	Upregulated	Not significant
ilmn_1667125_rps6kl1	1993.1020967741936	2006.2725	0.009501957692011337	0.8274793621891959	Upregulated	Not significant
ilmn_1757129_tmem88	85.32790322580645	87.13666666666667	0.030262328422453678	0.705145334094057	Upregulated	Not significant
ilmn_1703538_aif1	3453.302741935484	3287.0416666666665	-0.07118707280945791	0.24844797789963508	Downregulated	Not significant
ilmn_1781996_nudt16	260.3364516129032	268.6175	0.04517596891684472	0.6335925552864775	Upregulated	Not significant
ilmn_1686906_tp53inp2	3453.3079032258065	3287.0416666666665	-0.07118922905318881	0.24843392089504207	Downregulated	Not significant
ilmn_1724437_gcat	253.01725806451614	250.9025	-0.012108947245751263	0.8571959632393137	Downregulated	Not significant
ilmn_1709800_pomzp3	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1807972_mical1	1970.9688709677419	1919.6433333333334	-0.03806670555565834	0.6842843980139002	Downregulated	Not significant
ilmn_1699610_cct6b	160.435	153.54583333333332	-0.06331954655467105	0.31684889823165613	Downregulated	Not significant
ilmn_1705384_ppfibp1	91.24048387096774	106.2375	0.21954709968374597	0.08296013504158715	Upregulated	Not significant
ilmn_1806320_ppfibp1	160.44306451612903	153.54583333333332	-0.06339206405409267	0.31629684883933373	Downregulated	Not significant
ilmn_1792748_cps1	78.11935483870968	72.04	-0.11688185330005524	0.10119180102058793	Downregulated	Not significant
ilmn_1662839_plekha1	260.3374193548387	268.6191666666667	0.04517955736542554	0.6335679781786411	Upregulated	Not significant
ilmn_1727644_prmt3	101.34854838709677	104.31333333333333	0.04159814970131911	0.517083615942069	Upregulated	Not significant
ilmn_1709681_gabrb3	3789.871612903226	4077.505833333333	0.10553796492534841	0.23754136042376756	Upregulated	Not significant
